My town is a medium size city with eighty thousand inhabitants .,My town is a medium - sized city with eighty thousand inhabitants .
"Because you are the best teacher in the whole world!many of our class classmate really like you too!We know that you are going to teach Discovery - bay primary school .My English result is better once you taught me I really love you , Ms Cumings!your friend Ms Decock told me that she is going to Australia , and I love you two both I hope you that you will come back some times !","Because you are the best teacher in the whole world ! Many of our classmates really like you too ! We know that you are going to teach at Discovery - bay primary school . My English results are better since you taught me . I really love you , Ms Cumings ! Your friend Ms Decock told me that she is going to Australia , and I love you both . I hope you that you will come back sometimes !"
"The graph given shows the seasonal sales of ice - cream from two places at an Englishl seaside resort from 2012 to 2014 , they are separately an ice - cream van and an indoor public swinmming pool .","The graph given shows the seasonal sales of ice - cream from two places at an English seaside resort from 2012 to 2014 . They are , respectively , an ice - cream van and an indoor public swimming pool ."
"As the graph indicates , the sales at ice - cream van was generally larger than that at indoor swimming poor .","As the graph indicates , the sales at the ice - cream van were generally higher than those at the indoor swimming pool ."
"For the ice - cream van , it saled most in Jul - Sep each year , nearly reached 5000 dollars and it was still slightly increasing year by year .","In the case of the ice - cream van , it sold most in Jul - Sep each year , nearly reaching 5000 dollars and it was still slightly increasing year by year ."
"In every year , from January to July , the sales slightly increased and reached the peak at the third season , then it gradually slide back to the year 's bottom .","Every year , from January to July , the sales slightly increased and reached the peak in the third season , then they gradually slid back to the year 's bottom ."
"For indoor swimming poor , its sales did n't have large changes , usually saled about 2000 - 3000 dollars for each season .","In the case of the indoor swimming pool , its sales did n't have large changes , it usually sold about 2000 - 3000 dollars ' worth in each season ."
It usually saled most in Apr - Jun and Oct - Dec and slided to the bottom in Jul - Sep .,It usually sold most in Apr - Jun and Oct - Dec and slid to the bottom in Jul - Sep .
"In general , its sales were falling with the time went by .","In general , its sales were falling as time went by ."
There was a nice spring morning .,It was a nice spring morning .
"She put her cup of coffee on the windowsill , hooked up the brist on her beautiful little breast , put right her colourful light - minded skirt , took her orange scarf and red little handbag and went to the door .","She put her cup of coffee on the windowsill , hooked up the brist on her beautiful little breasts , put right her colourful light - minded skirt , took her orange scarf and little red handbag and went to the door ."
When she looked at him from under her long eyelashes he turned away and stared at the landscape outside .,"When she looked at him from under her long eyelashes , he turned away and stared at the landscape outside ."
"When she made step out , Michael closed the door and knew at that moment he had made a mistake .","When she left , Michael closed the door and knew at that moment he had made a mistake ."
Nowadays we constantly use means of transport to go everywhere so that our lifestyle .,"Nowadays , we constantly use means of transport to go everywhere so that our lifestyle ."
"We are used to travel by car , in fact each family has one .","We are used to travelling by car , and , in fact , every family has one ."
"Despite , travelling by public transport can be a better option in so many cases .","Despite this , travelling by public transport can be a better option in so many cases ."
Certainly cities will be crowded in the future because population is always increasing .,"Certainly , cities will be crowded in the future because the population is always increasing ."
"Using your own car to go to the citycentre could be a nightmare , it would be a stressful waste of time .",Using your own car to go to the city centre could be a nightmare . It would be a stressful waste of time .
Ubearable traffic jams and no parking areas would be the main problems .,Unbearable traffic jams and no parking areas would be the main problems .
"Besides , the price of petrol is increasing too , and it likely will be as expensive that most people not be able to afford a car .","Besides , the price of petrol is increasing too , and it is likely it will be so expensive that most people will not be able to afford a car ."
"In contrast , there will be cheaper alternatives as bus , train or even plane for long distances .","In contrast , there will be cheaper alternatives like buses , trains or even planes for long distances ."
"In other hand , many drivers enjoy travelling by his vehicle because they like to drive and they feel free .","On the other hand , many drivers enjoy travelling in their own vehicle because they like to drive and they feel free ."
Finally goberments and society are concerned about the environment and I consider that they will decrease levels of pollution and co2 emitions .,"Finally , governments and society are concerned about the environment and I think that they will decrease levels of pollution and co2 emissions ."
"From my point of view public transport will not disappear even if cars are much more comfortable , faster and more evolved than now .","In my opinion , public transport will not disappear , even if cars are much more comfortable , faster and more evolved than now ."
Every one ca n't deny that time is a big factor in our life .,No one can deny that time is a big factor in our lives .
"The life divided to terms of time , we live through time , we grow with time","Life is divided up in terms of time . We live through time , we grow with time"
"till Now , we talk in time and finally , we perish after time .","till Now , we talk in time and , finally , we perish after time ."
World change by time .,The world is changed by time .
Time never stops and does n't wait anyone .,Time never stops and does n't wait for anyone .
We must value time . I hope my country to be as a developed countries in using the best use of time .,We must value time . I hope my country is like a developed country in making the best use of time .
once moment lost is lost for ever .,"Once a moment is lost , it is lost for ever ."
it can never be regained even the strongest monarchs have been helpless to prevent time .,It can never be regained . Even the most powerful monarchs have been helpless to prevent time .
"So should be careful about the importance of time .I hope to not waste it and use it as the best use for giving opportunity for rising .Those who waste it , will be behind and they will fail to make a mark in their life .","So we should be aware of the importance of time . I hope not to waste it and to make the best use of it to giving opportunity for rising . Those who waste it , will be left behind and they will fail to make a mark in their life ."
The great men and successful guys became fame and rose by a suitable use for time .They guide and source of inspiration for a new generation .,The great men and successful guys became famous and rose through the suitable use of time . They a are guide and a source of inspiration for a new generation .
"So , we can say that time is a double - edged sword , either help you or agonist you and in the popular say is right that say "" do n't delay the work of this day to the next day "" because our works will accumulate then it become more hard to finish it .To ensure best use of time in our life , we need to be punctual.punctuality avoid tension and trouble things , finally even scientists have another vision about time , they discover that time is the fourst dimension by relative theory which exchange all concepts in science .","So , we can say that time is a double - edged sword , either helping you or against you , and the popular saying is right : "" do n't put off the work of this day to the next day "" because our work will accumulate . Then it will become harder to finish it . To ensure the best use of time in our lives , we need to be punctual . Punctuality avoids tension and trouble . Finally , even scientists have another vision of time . They have discovered that time is the fourth dimension through relativity theory , which exchange all concepts in science ."
I ca n't say expect that time more important in our life and we need to save it .,I ca n't say I hope that time will be more important in our lives and we need to save it .
His name is Santa Marta and he is near Trujillo .,Its name is Santa Marta and it is near Trujillo .
"In my town , we can see a big swimming pool , five parks , four bares and one state school .","In my town , we have a big swimming pool , five parks , four bares and one state school ."
"in my town there are a lot of old people , and there are nor much children , because they love in other cities .","In my town , there are a lot of old people , and there are not many children , because they live in other cities ."
"I love my town , because when I was a small girl , I went there , and I was with my grandparents , my cousins and my friends .","I love my town because , when I was a small girl , I went there , and I was with my grandparents , my cousins and my friends ."
"my best friend live in madrid , but We always were together in her house or in my house 's grandparents .","My best friend lives in Madrid , but we always used to be together in her house or in my grandparents ' house ."
"I have been very happy , and today I am happy there .","I have been very happy , and today I am happy here ."
I miss you so much . how are your baby ?,I miss you so much . How is your baby ?
I could go to madrid .,I could come to Madrid .
You and me can see us .,You and I could see each other .
"Next month , I going to go to our town .","Next month , I am going to come to our town ."
You be able to go ?,Will you be able to go ?
Will is fantastic !,It will be fantastic !
I hope to see you quick .,I hope to see you soon .
Our friends always ask me for you and your family .,Our friends always ask after you and your family .
"oh ! my brother , David , going to marry ! Sorprise !","Oh ! My brother , David , is going to get married ! Surprise !"
I wish that you be able to go to the wedding .,I hope that you will be able to come to the wedding .
"my boyfriend and me have a present for your small baby , Nick .","My boyfriend and I have a present for your little baby , Nick ."
"I love so much , my dear friend .","I love you so much , my dear friend ."
The diagrams below show how bank notes are made through four steps and how bad shees and notes are disposed .,The diagrams below show how bank notes are made through four steps and how bad sheets and notes are disposed of .
"To begin with , the format of the bank notes needs to be designed , factors of considerations including the background colour , the artwork and the security issues .","To begin with , the format of the bank notes needs to be designed . Factors for consideration include the background colour , the artwork and the security issues ."
"Sencondly , equipments like skilled machinists as mental plates should be prepareed for the next steps .","Secondly , equipment such as skilled machinists and metal plates have to be prepared for the next steps ."
"Thirdly , print the sheets of bank notes(50 banks notes per sheet)with special ink , where colour is condidered on both sides and images will slightly raised on the bank notes .","Thirdly , they print the sheets of bank notes ( 50 banks notes per sheet ) with special ink , where colour is considered on both sides and images will be slightly raised on the bank notes ."
"Most importantly , manually inspected on each printed sheet in case that there would exist damaged sheets .","Most importantly , they manually inspect each printed sheet in case there should be damaged sheets ."
"Once damaged sheets are discovered , partically separate them into good and bad ones and them burn the bad notes , making sure that the remaining sheets are of good quality .","Once damaged sheets are discovered , they individually separate them into good and bad ones and then burn the bad notes , making sure that the remaining sheets are of good quality ."
"Good sheets are cut into separate bank notes , then packed and dispatched to other place , comparing with which , the bad ones have to be destroyed securely .","Good sheets are cut into separate bank notes , then packed and dispatched to other places , while the bad ones have to be destroyed securely ."
the movie which I have chosen to write about is microphone .,The movie which I have chosen to write about is Microphone .
"it is An egyption movie acted by khaled aboelnaga and young actors . the actions of this film took place in Alexandrie city of Egypt and it talks about some young people who need a good chance to deliver their voices to people as they did n't have much money to produce their own albums ,","It is an Egyptian movie starring Khalen Aboelnaga and some young actors . The action of this film takes place in Alexandria , a city in Egypt , and it is about some young people who need a good chance to deliver their voices to people as they do n't have much money to produce their own albums ,"
"that sort of bands is famous between the youth and they call it "" under ground bands "" .their songs give a big concenet to the political and social stituation in Egypt and they become famous after the25 january revoulation , why I choose this movie as it reflects what happens in our society , there is no chance for the youth and if they found it , they face lot of problems to save it and they did n't find time for other activties and in sometimes they worked in thing which they never learn or love","that sort of band is famous among young people and they call it "" underground bands "" . Their songs give a big concenet to the political and social situation in Egypt and they became famous after the 25 January Revolution . I choose this movie as it reflects what happens in our society . There is no chance for young people and if they find it , they face a lot of problems to save it and they do n't find time for other activities , and sometimes they work on something which they never learn from or love ."
"I live in a small city , then there are few things that my town made for the environment : like the recycling , therefore we must know of what is made the material that we throw , and put them in the right dumpster .","I live in a small town , and there are a few things that my town does for the environment : like recycling , for which we must know what material the things we throw away are made of , and put them in the right dumpster ."
"This is a little act for us , but if we all contribute will be a big help for the environment .","This is a small act for us , but if we all contribute , it will be a big help for the environment ."
"We also can use appliance that not consume so much , if we can adopt sustainable electric systems or buy organic products .","We can also use appliances that do not consume so much , if we can adopt sustainable electrical systems or buy organic products ."
"In the big cities they have began to build green buildings , they use the electricial public transport not to pollute .","In the big cities , they have begun to build green buildings , they use electric public transport in order not to pollute ."
"In my opinion there may be many rules , but if we do n't respect it , we will not help our habitat .","In my opinion , there may be many rules , but if we do n't respect them , we will not help our habitat ."
"The most exciting day on my life was May 9th , last year , when I attend the secondary school .","The most exciting day of my life was May 9th last year , when I attended secondary school ."
I stayed on France with my friends and my teachers .,I went to France with my friends and my teachers .
I catch the bus and I waved my mum .,I caught the bus and I waved to my mum .
After six hours we had lunch on a fast food to France .,"After six hours , we had lunch in a fast food restaurant in France ."
Next we visited a famous aquarium where I looked a lot of fish .,"Next , we visited a famous aquarium where I saw a lot of fish ."
On the evening we had dinner on a particular restaurant and my friends and I did many photo with a famous sight .,In the evening we had dinner in a particular restaurant and my friends and I took many photos of a famous sight .
I was admiring the sea while my friends looked around the shop .,I admired the sea while my friends looked around the shops .
The days after we were in a parfurms and I bought a present for my mum .,"The day after , we went to a perfumery and I bought a present for my mum ."
My teacher wanted to our speak to French .,My teacher wanted us to speak French .
In the end my friends and I jumped into the sea .,"In the end , my friends and I jumped into the sea ."
"At a nice day , my old brother surprise me .","On a nice day , my older brother surprised me ."
It is a first time for me to play with a cat .,It was the first time for me to play with a cat .
It is a nice experience .,It was a nice experience .
I called it LOZAH because its color like an almond .,I called it LOZAH because its color was like an almond .
The almond is called in Arabic LOZ .,An almond is called LOZ in Arabic .
It likes my laptop and it play with the Cursor .,It likes my laptop and it plays with the cursor .
That is funny but makes me nervous .,"That is funny , but makes me nervous ."
It sleeps eighteen hours per a day .,It sleeps eighteen hours per day .
The nice sleeping of it is when it watching anime .,The nice sleeping of it is when it watches anime .
when the children went out it became sad .,"When the children go out , it becomes sad ."
It runs behind the ants and flies .,It chases ants and flies .
It hates the water .,It hates water .
When we need to punish it we spreed some drops of water at its face .,When we need to punish it we spread some drops of water on its face .
I hope it to be a good cat and a good experience for me .,I hope it will be a good cat and a good experience for me .
my firs job was baby sitter .,my first job was as a babysitter .
I have to look forward at two little boys : seven and nine years old .,I had to look after two little boys aged seven and nine years old .
"I was seventeen years old , when I decided to accept this work .",I was seventeen years old when I decided to accept this job .
I have been the baby sitter of these children for all that summer and I enjoyed so much with them .,I was the babysitter of those children for all that summer and I enjoyed myself so much with them .
They lived in a big house with a lovely swimming pool where we can swim and play .,They lived in a big house with a lovely swimming pool where we could swim and play .
"At the end of the summer , I have kept on seeing these boys to help them during the school year .","At the end of the summer , I kept on seeing those boys to help them during the school year ."
This experience helped me a lot because I become much more responsible not only with these boys but also with my brothers and sister ( I had two brothers and one sister)and I have learned the meaning to work and receive money .,"This experience helped me a lot because I became much more responsible , not only with those boys , but also with my brothers and sister ( I have two brothers and one sister ) and I learned the meaning of working and earning money ."
"I did n't have problems because the children were quiet and respectful , and also because I known them since they were newborn .","I did n't have problems because the children were quiet and respectful , and also because I had known them since they were born ."
I hope to have satisfied to all your questions .,I hope to have answered all your questions .
I grew up in a parent family .,I grew up in a one - parent family .
"However , we were lucky enough to have a great mother who tried all her best to keep my older brother , my older sister and I for completing our college studies .Of course my uncle , young brother of my mother gave a big hand to go through the hard , so that made us often help each other in my family when the member who was in hard .","However , we were lucky enough to have a great mother who tried her best to support my older brother , my older sister and me in completing our college studies . Of course , my uncle , younger brother of my mother lent a big hand to go through the hard times , so that made us often help each other in my family when a member was in difficulty ."
"Especially I was the youngest member in the family , made much more troubles when I was young .","In particular , I was the youngest member of the family , and I caused much more trouble when I was young ."
I had truancy and did not pay attention to studies .,I truanted and did not pay attention to my studies .
That really the biggest harm to a hard - working woman whom my mother tried all her best to feed me up and help me complete my studies .,That was really the biggest harm to a hard - working woman like my mother who tried her best to feed me and help me complete my studies .
"All the members of my family never give me up , and I finished my college studies , too .I have a good job now .","All the members of my family never gave up on me , and I finished my college studies , too . I have a good job now ."
I do really thank my mother and all the members for paying the patient and exertion to me .Now we have great relationship with each other and treasure the happiness we get not so easy .,I do really thank my mother and all the members of my family for being patient and exertion to me . Now we have a great relationship with each other and treasure the happiness we have got not so easily .
First of all let me to introduce my town I live in Kabul city the capital of Afghanistan .,"First of all , let me introduce my town . I live in Kabul , the capital of Afghanistan ."
"This town is located in the central zone of the Afghanistan with 4462(km² ) space , and has more than seven Million populations , the economic and security situation is not suitable and these factors have directly effect in to the carefulness of environment .","This town is located in the central zone of Afghanistan with 4462(km² ) surface area , and has more than seven million inhabitants . The economic and security situation is not suitable and these factors have a direct effect on how we care for the environment ."
The most important factor in the environment improvement is the lock of the required knowledge between the local people .,The most important factor in environmental improvement is the lack of the required knowledge among the local people .
Based on the Necessity people and government in this town together effectually takes care to the environment .,"Based on necessity , the people and government of this town together effectually take care of the environment ."
Municipality of the mentioned town is collect the garbage Form Street and roads and shipped to the,The municipality of the town collects the garbage from the streets and roads and ships it to a
specific area .,special area .
"Fortunately Kabul structured by Mountains and have mountainous climate , approximately this town have 15 ( mm ) Raining per year the remarkable Agricultural area and forestry all around the town have a positive effect for the Kabul city environment and producing Fresh air for the citizens of the mentioned town","Fortunately , Kabul is surrounded by mountains and has a mountainous climate . This town has approximately 15 mm of rain per year . The remarkable agricultural area and forestry all around the town have a positive effect on Kabul 's environment and produces fresh air for the citizens of the town ."
Public transport are busy now a days .,Public transport is busy nowadays .
More people are using it and it getting rush .,More people are using it and it is getting rush .
It creating lot of troubles by standing on the edge of the buses and metros .,It is creating a lot of problems by standing on the edge of the buses and metros .
"Actually there are a lot of kinds of sports that I like , but the most interesting sports for me is football .","Actually , there are a lot of kinds of sports that I like , but the most interesting sport for me is football ."
"Usually , I play football with my friends in stadium .","Usually , I play football with my friends in a stadium ."
I suggest you to do sports because it makes us healthy .,I suggest you do sports because it makes us healthy .
Dear mr / ms of summer camp .,"Dear Sir / Madam ,"
I am interested in work with you .,I am interested in working with you .
This is an opportunity excellent for me because I want to work like English teacher .,This is an excellent opportunity for me because I want to work as an English teacher .
"I studied in an English school and learning English since I was a child , my teachers were all natives and I practised my English with them always .",I studied in an English school and have been learning English since I was a child . My teachers were all native speakers and I always practised my English with them .
After I studied to be English teacher in the university of Extremadura .,"Later , I studied to be an English teacher at the university of Extremadura ."
I am English teacher now .,I am an English teacher now .
They learn and understand very good English .,They learn and understand English very well .
I have worked in the holiday English school this year and I have learned a lot of with this experience .,I worked in the English holiday school this year and I have learned a lot through this experience .
"I have organized activities like : sports , visit to city , festivals , etc .","I organized activities like sports , visits to cities , festivals , etc ."
"I love be with them , they help me to do my work , they teach me to be better person , I have more patient now and I know now to be happy .","I love being with them ; they help me to do my work , they teach me to be a better person . I have more patience now and I know how to be happy ."
"I live alone , so I cook always my food .","I live alone , so I always cook my own food ."
The cooking is one of my hobbies . I like to eat very good and I practise several kinds of foods .,Cooking is one of my hobbies . I like to eat very well and I cook several kinds of foods .
I think that I am the person for your job because I have all that you are looking for .,I think that I am the right person for your job because I have all that you are looking for .
I hope yours news .,I look forward to your reply .
Sincerely,Yours Faithfully
Anyone has their favorite sports .,Everyone has their favorite sports .
"Someone likes go hiking , others likes dancing , still others like playing","One person likes going hiking , others likes dancing , still others like playing"
"And , either do I. I also like sports .","And , so do I. I also like sports ."
One of them which I like most is badminton .,The one which I like most is badminton .
Why my favorite sports is badminton ?,Why is my favorite sport badminton ?
There are some reasons .,There are a number of reasons .
"Second , playing badminton can active all body , like hands , arms , feet .","Second , playing badminton can activate your whole body , like hands , arms , feet ."
"play it with someone , whatever just for fun or for the game , my body will feel so hot in thirty minutes .","play it with someone , whether just for fun or for a competition , my body feels so hot in thirty minutes ."
"Then , it can play indoor , also , it can play under the sun .","Then , it can be played indoors , and it can be played in the sun ."
"Playing badminton can do lots of great things for you , expect good for health , it also can make a lot","Playing badminton can do lots of great things for you . Apart from being good for your health , it can also be a lot"
of fun and play with family or friend happily .,of fun and you can play with family or friends happily .
"If someone answer me what the best sport is , I will say :","If someone asked me what the best sport is , I would say :"
Badminton is .,badminton is .
My favourite sport is badminton because I used to practise it when I was a child and I loved it .,My favourite sport is badminton because I used to play it when I was a child and I loved it .
It seems to me a complete sport because you can practise it in pairs or in an individual way .,"It seems to me a complete sport , because you can play it in pairs or in an individual way ."
"You have to be able to play for a long time , analyze your opponent 's mistakes to win and to have measure about your energy for no to be exhausted before the match is over .","You have to be able to play for a long time , to analyze your opponent 's mistakes to win and to have the measure of your energy so as not to be exhausted before the match is over ."
For someone who is starting this sport I would give just one advise : enjoy .,For someone who is starting this sport I would give just one piece of advice : enjoy yourself .
"Because if you are trying to win you will lose the most important thing , to discover how wonderful to play a sport could be .","Because if you are trying to win , you will lose the most important thing : discovering how wonderful playing a sport can be ."
"now days young people are influence towards the western culture so , they are getting more fashionable.youngster are interested to wear different stylish and colored clothes.they are happy with wearing different color clothes.they did n't want to wear our cultural dress such as sari , dhoti , choli and many more.they only like to wear shirt , pant skirt , t shirt and many more.youngster are influence by watching different programmes on television .","Nowadays , young people are influenced by the western culture , so they are getting more fashion - conscious . Youngsters are interested in wearing different stylish and colorful clothes . They are happy about wearing different color clothes . They do n't want to wear our traditional dress , such as sari , dhoti , choli and many more . They only like to wear shirts , pants , skirts , t - shirts and many more . Youngsters are influenced by watching different programmes on television ."
Sport is important part of my life .,Sport is an important part of my life .
Two years ago when I was still in school .,"Two years ago , when I was still in school ."
"But I could n't go with them at the time , I was sick a lot .",But I could n't go with them at the time . I was sick a lot .
One day my friend invited me to karate .,"One day , my friend invited me to karate ."
It was strange because I never went to the sports .,"It was strange , because I never went to sports ."
After one month my instructor told me that I will go to the competition .,"After After one month , my instructor told me that I would enter the competition ."
I was very worrying and nervous .,I was very worried and nervous .
The day of the competition and I came with others to show how I 'd practiced .,The day of the competition arrived and I went with others to show how I 'd practiced .
Then instructor said my name and I went out on the Tatami.when I left I had a special feeling many people look and clapping .,Then instructor said my name and I went out on the Tatami . When I left I had a special feeling ; many people were looking and clapping .
It took 3 minutes I won with three accounts too .,It took 3 minutes . I won with three accounts too .
I was very happy because it was my first competition .,I . I was very happy because it was my first competition .
Then as always sounded Kazakhstan hymn .,"Then as always , they played the Kazakhstan national anthem ."
This time I felt like a Champion it was really especially feeling .,This time I felt like a Champion . It was a really special feeling .
When I went to karate I 'm not even sick .,When I go to karate I 'm not even sick .
"Sport has given me a boost of vitality , energy , optimism and strengthen the immune system .","Sport has given me a boost of vitality , energy , and optimism and strengthened my immune system ."
"My most exciting day was the June 8th 2014 , an international competition in Belgium .",My most exciting day was June 8th 2014 ; an international competition in Belgium .
"The day before there were the qualifications , that I passed .","The day before , there were the qualifiers , which I passed ."
"The day of the finals I was so nervous , but determined .","The day of the finals , I was so nervous , but determined ."
"There were athletes who are European champions and I picked up all my courage and I did my exercises very well , except for a fall from the beam .","There were athletes who were European champions and I gathered all my courage and I did my exercises very well , except for a fall from the beam ."
"After the competition I was relaxed and happy , because I have done my job .","After the competition I was relaxed and happy , because I had done my job ."
"Eventually I placed 7th both beam and floor , and after we took the photos I go back to the changing room .","In the end , I placed 7th for both beam and floor , and after we took the photos , I went back to the changing room ."
"When I left , some girls were out of the dressing room with a sheet and a pen in the hands and they asked me an autograph .","When I left , some girls were outside of the dressing room with a sheet of paper and a pen in their hands and they asked me for an autograph ."
"I was really surprised and happy , I would never have thought !",I was really surprised and happy . I would never have thought that could happen !
"The little girls thanked me , then I go to eat with my team and the day after we went back to Italy .","The little girls thanked me , then I went to eat with my team and the day after we went back to Italy ."
An easy recipe are cookies .,An easy recipe is cookies .
"Mix butter , eggs and vanilla .","Mix the butter , eggs and vanilla ."
The mixture must be smooth and compact . Pour the chocolate and cut the cookies with a round shape .,The mixture must be smooth and compact . Pour the chocolate and cut the cookies into a round shape .
Baker them for 15 minutes,Bake them for 15 minutes .
I am writing with regard to find accounting services for my company .,I am writing with regard to finding accounting services for my company .
I know that you have experience to search the best employees and you have quality .,I know that you have experience in searching got the best employees and you have quality .
I need the services for a year so Can you provide those services ?,"I need the services for a year , so can you provide those services ?"
I need that my employees are punctual and that they have responsibility in their job because we are talking about the money of the company .,I need my employees to be punctual and that they have responsibility in their job because we are talking about the money of the company .
Thank for your help and I hope you will find the best company for me .,Thank you for your help and I hope you will find the best company for me .
The world is changing around .,The world is changing .
Technologies are moving on in high speed .,Technologies are moving on at high speed .
As the technologies world is moving fast and the auto mobile industry is also coming with new variant of cars & scooters in very economical way .,"As the technological world is moving fast , the automobile industry is also coming up with new types of cars & scooters that work in very economical way ."
Buying cars and scooters are more convenient than the last decade .,Buying cars and scooters is more convenient than in the last decade .
In few decade people earnings and living style have also changed .,"In a few decades , people 's earnings and lifestyles have also changed ."
People now buying cars and scooters as per their convenience and pocket .,People now buy cars and scooters according to their convenience and pocket .
"Earlier people used to buses , taxes , autos for reaching offices , schools , colleges , shopping etc .","Previously , people used to use buses , taxis , autos for going to offices , schools , colleges , shopping etc ."
Which was time consuming and obliviously cheaper way of commuting from one place to other .,Which was a time - consuming and obviously cheaper way of commuting from one place to another .
Since today worlds is time saving world hence people do n't care about their pocket .,"Since the world of today is a time - saving world , people do n't care about their pocket ."
Using personal veihicles is more convenient to them than using public transport .,Using private vehicles is more convenient for them than using public transport .
So the public transports importance is reducing every day .,So public transport 's importance is decreasing every day .
If it so their will a time when single people will not interested for public transport .,If it so there will come a time when individual people will not be interested in public transport .
This has tremendous impact on other aspect .,This has a tremendous impact on other aspects of life .
Fuel consumption has increased in few years .,Fuel consumption has increased in a few years .
Net of cars and bikes is reason for heavy traffic jam every side .,The number of cars and motorbikes is the reason for heavy traffic everywhere .
Ratio of road accidents has been increased in few decades .,The rate of road accidents has increased in a few decades .
People not even care about safety parameters while driving on road .,People do not even care about safety parameters while driving on the roads .
I must say that Public transport is life line in today worlds .,I must say that public transport is a lifeline in today 's world .
"Public transport is a very useful resource , you can travel without polluting the atmosphere and it is very cheap .",Public transport is a very useful resource . You can travel without polluting the atmosphere and it is very cheap .
"But , why it will disappear ?","But , why will it disappear ?"
"Nowadays , we usually travel very often to many different places , so for us is more comfortable our cars , but for the atmosphere and for our wallets , it is n't .","Nowadays , we usually travel very often to many different places , so for us , it is more comfortable to travel in our cars , but for the atmosphere and for our wallets , it is n't ."
"Using public transport we will avoid traffic and so many accidents , so why we do n't use it more ?","Using public transport we will avoid traffic and so many accidents , so why do n't we use it more ?"
"It will be a great advance for people and for the atmosphere , and as well for the countries because we will save a lot of money","It would be a great advance for people and for the atmosphere , and for countries as well , because we will save a lot of money ."
I think that family 's members could n't be friends because the relation is very different .,I think that family members ca n't be friends because the relationship is very different .
"Firstly , family is the base of the relationships .","Firstly , family is the basis of the relationship ."
"Secondly , although the friendship and love are the most important feelings , the family structures the person and influences their behavior .","Secondly , although friendship and love are the most important feelings , the family structures the person and influences their behavior ."
I feel my family in a different way from my friends .,I feel about my family in a different way from my friends .
"Although I have a good relationship with my parents , I could n't think them like friends .","Although I have a good relationship with my parents , I could n't think of them as friends ."
Some people think that this is possible but I disagree because it confuses roles in the family .,"Some people think that this is possible , but I disagree because it confuses roles in the family ."
The parents have to give education to the children over obviously love,"The parents have to give education to the children and , obviously , love ."
In conclusion I think that two relationship are different .,"In conclusion , I think that the two relationships are different ."
Perhaps I think that this statement is false because I think that statement should say that the the public transport is going to have in the future because travelling by car is not so much more convenient .,Perhaps I think that this statement is false because I think this statement should say that public transport is going to exist in the future because travelling by car is not so much more convenient .
I think that travelling by car is good because you have your own sit and in the winter your car is hot and you also can listen to the radio .,I think that travelling by car is good because you have your own seat and in the winter your car is hot and you can also listen to the radio .
"In the public transport you do n't have your own sit so sometimes you travel standing which is not very comfortable and in winter you do n't have air conditioning so if it 's cold in the outside it 's cold inside the transport to , sometimes you have to travel with sick people that can transmit you the illness .","On public transport , you do n't have your own seat , so sometimes you travel standing up , which is not very comfortable , and in winter you do n't have air conditioning , so if it 's cold outside , it 's cold inside too . Sometimes you have to travel with sick people that can transmit the illness to you ."
Otherwise the public transport do n't pollute but the car pollute so for us travelling by car is better than travellng by public transport but for the atmosphere is better travelling by public transport than travelling by car,"On the other hand , public transport does n't pollute , but the car pollutes , so , for us , travelling by car is better than travelling by public transport , but for the atmosphere , it is better to travel by public transport than to travel by car ."
"The walls are green and blue , on the green wall there are some of my photos , and on the wall there are some photos of my brother .","The walls are green and blue . On the green wall there are some of my photos , and on the wall there are some photos belonging to my brother ."
"There is a bedside table in the middle of two beds , on this there are the alarm clock and the book that we read",There is a bedside table between two beds . On this there are the alarm clock and the books that we are reading .
"There are two wardrobe , one for me and one for my brother .",There are two wardrobes ; one for me and one for my brother .
There is a stereo system on the bench and scareted around the room there are a lot of puppets,There is a stereo system on the bench and arranged around the room there are a lot of puppets .
"Near my bedroom , there is a little room , in this room there are my red desk , a white bookshelf and one globe .","Near my bedroom , there is a little room . In that room there are my red desk , a white bookshelf and a globe ."
"Hello , my name is habiba jahid I am fifteen years old I live in Egypt .","Hello , my name is Habiba Hamdy . I am fifteen years old and I live in Egypt ."
I like English very much I like learning new languages and things .,I like English very much . I like learning new languages and things .
I am not a native speaker of English but I wish that I will be one day .,I am not a fluent speaker of English but I hope that I will be one day .
"what makes me like learning new languages is how it makes me communicate with others easily , I also like traveling so much as it makes me see new places and learn more about other countries around the world and their cultures and traditions however , I do n't travel outside my country because I am a student and I do n't have my own money which I can spend it on what I like .","What makes me like learning new languages is how it helps me communicate with others easily . I also like traveling so much , as it makes me see new places and learn more about other countries around the world and their cultures and traditions . However , I do n't travel outside my country because I am a student and I do n't have my own money which I can spend on whatever I like ."
"my dreams when I grow up that I travel alot around the world , marry a romantic funny person , have a good life and be a good mother like my mother .","My dream for when I grow up is that I will travel a lot around the world , marry a romantic , funny person , have a good life and be a good mother like my mother ."
