My town is a medium size city with eighty thousand inhabitants .,My town is a medium - sized city with eighty thousand inhabitants .
Should you have any question please do not hesitate to contact me .,Hasselt is famous for its great shopping facilities .
Hasselt is famous for its great shopping accommodation .,"Hasselt has it all , from museums and shops with the latest fashion , to shops with local products , such as gingerbread and gin ."
"Hasselt has it all , from museums and shops with the latest fashion , to shops with local products such as gingerbread and gin .","If you are getting tired from wandering through all the streets and alleys , you can always go and have a pleasant drink in one of the many little cafés in the market square ."
"If you are getting tired from wandering through all the streets and alleys , you can always go and have a pleasant drink in one of the many little cafés at the market square .","In the evening , when all the day trippers are gone , the city wakes up again and all the bars re - open ."
"In the evening , when all the daytrippers are gone , the city wakes up again and all the bars reopen .",THE MOST INTERESTING WEEKEND OF MY LIFE
THE MOST INTERESTING WEEKEND ON MY LIFE,"I had always believed that the best memories of life were when you meet new people , new places , going out with your friends , sunbathing on the beach , things like that ."
"I had always believed that the best memories of life were when you meet new people , new places , going out with your friends , taking sun on the beach , thingS like this .","These are beautiful moments , but now I reckon that there is n't anything more interesting than having all your family together talking about whole background ."
"Are beautiful moments , but now I reckon that there is n't nothing more interesting than having all your family together talking about whole background .",Surprising stories that we will not ever imagine .
Surprising stories that we will not never imagine .,"My family is n't so close and is distributed around many cities in my country . After some incidents in the past , many things changed and each family followed their own way ."
"My family are n't so close and is distributed in many cities on my country , after some incidents in the past , many things changed and each family followed their own way .","However , my siblings and I decided to set up a big surprise for my father for his 50th birthday ."
"However , my siblings and I decided to set up a big surprise to my father for his birthday number 50 .",We tried to contact as many family members as we could .
We tried to contat the most amount famiy as we could .,It was a perfect weekend because there was a holiday on the Monday .
It was a perfect weekend because there was a holiday on Monday .,We rented a wonderful place outside our city with a spectacular atmosphere .
"We rented a wonderful place outside our city , spectacular atmosphere .",It was the most interesting and astonishing weekend that I have ever experienced .
It was the most interesting and astonishing weekend that I have lived eve .,"Firstly , to see father 's face when he saw all the people ."
"Firstly , to see father 's face when he saw all people .","For a long time I had n't seen my father so happy . Secondly , seeing how big the family is now , with so many children ."
"A long time I haven't seen my father so happy . secondly , seeing how big is the family now , many children .","Everything was amazing , a lot of memories . We laughed a lot , we did many activities like bbq , table games , watching movies , swimming , among others ."
"Everything was amazing , a lot of memories , we laughed a lot , we did many activities like bbq , table games , watched movies , swimming pool , among others .",Now I believe that the best moments in life are when you have time with your family . It is the best way to recharge your battery for everything .
"Now I believe that the best moments in the life are when you have time with your family , is the best way to recharge energy for everything .",Many times we pay more attention to other things . It can do it in many opportunities .
"Many times we pay more attention to other things , it can do it in many opportunities .","Family is one , and we do n't know when we could lose them ."
"Family is one , and we do n't know when can lose them .","In my opinion , travelling by car is more convenient than travelling by public transport because you can choose where you want to go and the time you prefer to start your trip ."
In my opinion travelling by car is more comfortable than travelling by public transport because you can choose where do you want to go and the time you prefer to start your trip .,Travelling around the city by car is faster than on public transport .
Travelling around the city by car was faster than public transport .,"And when you want to move around your city , if you go by car , most of the time you ca n't park your car because there are very few car parks in cities ."
"And when you want to move around your city , if you go by car , most of the time you ca n't park your car because there are very few car parks in the cities .","Sometimes , public transport is useful because you can use it when you want to go to a party and you will probably drink some wine , beer , etc ."
"Sometimes public transport is interesting because you can use it when you want to go to a party and you probably drink some wine , beer , etc .","If you would like to go somewhere fast , do n't use public transport , because it is very slow ."
"If you would like to go fast to somewhere , do n't use public transport because it is very slow .",The problem with using our cars instead of public transport is pollution .
The problem to use our car instead of public transport is the pollution .,"If everyone used public transport , climate change would not increase more ."
If everyone use public transport climate change does not increase more .,I 've seen your letter and I 'm writing this to you to say what I do in my country to help save the environment .
I 've seen your letter and I 'm writing this to you to say what I do in my country to help saving the environment .,"At my school , I do n't do that much because there are just five of us that are worried about the world ."
At my school I do n't do that much because we are just five people that are worried about the world .,"We tried to convince the Headmaster to help us financially , but it was n't enough ."
We tried to convince the Headmaster to help us monetarily but it was n't enough .,"At home , I convinced my family to recycle and reuse the water that we ca n't drink , to give to our plants ."
"At home I convinced my family to recycle and reuse the water that we ca n't drink , to give to our plants .","Now , what do you do at your school and at your home ?"
Now what do you do at your school and at your home ?,Tell me . I 'm curious .
Tell me I 'm curious .,"The aim of this report is to outline what are the best places for young people to have fun in Valencia , what facilities exist for them and how these could be made better ."
"The aim of this report is to outline what are the best places to have fun in Valencia for young people , what facilities exist for them and how these could be made better .","My city , Valencia , is a touristic city situated by the sea ."
"My city , Valencia , is a touristic city situaded by the sea .","Also , it would be a good idea to go to the beach to spend the day and play volleyball or sunbathe , because this is always a good plan ."
"Also , it would be a good idea go to the beach to spend the day and play volleyball or sunbathing , because this it is always a good plan .","Valencia , has different areas to go out in the evening , but some of them require ID , so if you are younger than 18 , it will be difficult to get in ."
"Valencia , has different areas to go out in the evening , but some of them required the passport , so if you are younger than 18 it would be difficult to enter .","Also , you can go to eat "" Paella "" and ride around the "" Albufera "" of Valencia in a small boat ."
"Moreover , you can go to eat "" Paella "" and ride around the "" Albufera "" of Valencia in a small boat .","However , the art and science museum could be the most enjoyable plan ."
"However , the art and science museum , it could be the funniest plan .","In addition , I suggest going by bus around the surroundings of the city , where you can do adventure sports , like canoeing , climbing or just walking around the mountains and enjoying the countryside"
"In addition i suggested going by bus around the surroundings of the city , where you can do adventure sports , like canoening , climbing or just walking around the mountains and enjoy the countryside","I recommend that they should do both activities , Valencia city and also the surroundings ."
"I recommend that they should do both activities , Valencia city and also de the surroundings .",Maybe I could check if I can bring you some free tickets for public transport .
Maybe I could check if I can bring you some free tickets for the public transport .,We are always going to the cinema to watch a new one .
We are always go to the cinema to watch a new one .,"My favourite kinds of movie are comedy and comedy drama because they have interesting plots and characters , someone and who watches comedy can laugh all the time ."
"My favourite kinds of movie is comedy and drama comedy because it has interesting plot and person , who watches comedy can lought all the time .","While someone is watching this kind of movie , he / she is just relaxing and having a good time ."
While person is watching this kind of movie he / she is just relaxing and has a good time .,Now I will further develop our last statement .
Now I will further developed our last statement .,"As Lloyd Cohen ( the Director of the Worldwide Market Analysis ) said , playing the lottery is not economically irrational and uninformed ."
As Lloyd Cohen ( the Director of the Worldwide Market Analysis ) said lottery play is not economically irrational and uninformed .,"He presents a theory in which buying lottery tickets is not a misguided input into wealth production as some critics believe , but a valuable input into creating a sense of possibility of escaping from one 's current life by acquiring wealth ."
"He presents a theory in which buying lottery tickets is not a misguided input into wealth production as some critics believe , but a valuable input into creating a sense of possibilty from scaping from one 's current life by acquiring wealth .",Cohen 's knowledge is that playing the lottery is not automatically irrational .
Cohen 's knwoledge is that playing the lottery is not automatically irrational .,Some people like to calculate the gain or loss from buying the lottery but other people that can afford a dollar ticket now prefer to keep their dreams .
Some people like to calculated the gain or lose from buying the lottery but other people that can afford a dolar ticket now prefer to keep their dreams .,People do n't invest the money they spend on lottery tickets .
People do n't invest the money they spend on lottery .,"Though this has been an amusing debate , we the affirmative side , on the weight of our argument and proof , have concluded that the lottery should n't be banned in the US and Spain , because it is a tradition , it gives help , hope and support to public entities and it must be a rational investment ."
"Though this has been an amusing debate , we the affirmative side , on the weight of our argument and proof , have concluded that lottery should n't be banned in the US and Spain , because it is a tradition , it gives help , hope and support to public entities and it must be a rational investment .","First of all , you should find the entrance of the airport ."
First of all you should find the entrance of the airport .,Then you should know that there will be two kinds of transport .
Then you should know that you there will be two kinds of transport .,Taxi is the first possibility .
Taxy is the first variant .,"Also , you can use the bus ."
Also you can use the bus .,It might be the more boring way to my home but I like it for the price .
It might be more boring way to my home but I like it for the price .,"When you hear the bus stop Ploshad Truda , you should get off the bus and I 'll meet you at that bus stop ."
When you hear the bus stop Ploshad Truda you should leave the bus and I 'll meet you at this bus stop .,"In my opinion , the weather is better today than yesterday ."
In my opinion the weather is better today than yesterday .,So it would be very good if you brought a warm coat and an umbrella .
So it would be very well if you take a warm coat and an umbrella .,"The swimming pool in Brunete has customers from all age groups , but it is especially suitable both for young people and elderly people who want to improve their mobility ."
"The swimming pool in Brunete has customers from all age groups , but it is especially suitable both for young and elderly people in order to improve their mobility .","The building has two changing rooms , for men and women ."
The building has two changing rooms for men and women .,Several bathrooms are available with cold and hot water in them and a 25-metre - long heated pool .
Several bathrooms are available with cold and hot water in them and a 25 metre - length heated pool .,"As far as I am concerned , there are some pros and cons about the use of the swimming pool ."
As far as I am concerned there are some pros and cons about the use of the swimming pool .,"On the one hand , everything is very clean , including floor , bathrooms and corridors . In addition , if you are a disabled person , you will not have any trouble getting in there because there are some ramps to help you go in ."
"On the one hand everything is very cleaned including floor , bath and corridors , in addition , if you are a disabled person you will not have any trouble to get there because there are some ramps to help you come in .","On the other hand , you will have to pay 45 euros a month to use the facilities , and besides , you will not be able to do exercises because there is not any gym inside the building ."
"On the other hand you will have to pay 45 euros a month to use facilities , and besides , you will not be able to do exercises because there is not any gym inside the building .","In my opinion , the swimming pool is convenient because you can walk to swim if you live in town , but it is very expensive , particularly for young people ."
"In my opinion the swimming pool is convenient because you can walk to swim if you live in town but is very expensive , particularly for young people .",I suggest that prices should be lower than they currently are .
I suggest that prices should be lower than they actually are .,Famous people have always been surrounded by a lot of journalists and paparazzi who follow them wherever they go .
Famous people have been always sorrunded by a lot of journalists and paparazzies who follow them wherever they go .,"Those people could be politicians , film stars , singers , football players and so on , living in constant stress because they can not have a "" normal "" life , and , from my point of view , that 's normal because they live for this , they are public people and , because of this , they have to keep calm and carry on with it ."
"Those people could be politicians , film starts , singers , football players and so on living in a constant stress because they can not have a "" normal "" life , and , from my point of view , that 's normal because they live for this , they are public people and because of this they have to keep calm and carry with it .","Therefore , most of these famous people complain about this , but it is logical that all the media , television , radio and journalists are constantly devoting every minute of the day to them , because people are interested in them , in knowing what they are doing every second , in knowing who they are with , in knowing what they like or do n't like , their hobbies , in short , in knowing everything about them ."
"Therefore , most of this famous people complain of this but it is logical that all the media , television , radio and journalists are constanlty devoting every minute of the day to them because people are interested in them , in knowing what they are doing every second , in knowing with whom they are , in knowing what they like or do n't like , their hobbies , in short , in knowing everything about them .","In conclusion , being famous is really difficult and frustrating as well , but , in contrast , they earn a lot of money and they are loved by so many people , though they have to accept some critics , because not everybody has to love them ."
"In conclusion , being famous is really difficult and frustrating as well , but in contrast , they earn a lot of money and they are loved by so many people though they have to accept some critics because not everybody has to love them .",I do agree with the statement that shopping is not always enjoyable .
I do agree with a statement that shopping is not always enjoyable .,A shopping centre has many disadvantages .
It has many disadvantages .,"It 's a large space with a lot of shops , so we need a lot of time to visit all of them ."
"It 's a large space with a lot of shops , so we need much time to visit all of them .","After a few hours , we are so tired , that we do not have the strength to do anything else ."
"After a few hours we are so tired , that we do not have power to do anything else .","Besides , in the shopping centres there 's loud , energetic music played all the time and a crowd of people , so we arrive home with a huge headache ."
"Besides , in the shopping centres there 's a loud energetic music played all the time and a crowd of people , so we get home with a huge headache .",Money is another reason why we do not always enjoy shopping .
Money is another reason why we do not always enjoy the shopping .,"We live in a time of acquisitiveness and people buy many things , even if they ca n't afford them ."
"We live in a time of acquisitiveness and people buy many things , even if they ca n't afford it .",The times in which we live are conducive to addictions .
Times in which we live are conducive to addictions .,"In the long run , people addicted to shopping do not enjoy this ritual anymore - they do it just because they have to , although they have no money and no space at home for all those things they buy ."
"People addicted to shopping in the long run do not enjoy this ritual anymore - they do it just because they have to , although they have no money and no space at home for all those things they buy .","Sometimes , it 's better to visit some small shops than big centres ."
Sometimes better is to visit some small shops than big centres .,"Today in big cities , public transport is necessary for tourists , students , children and workers ; but the situation is very different in small cities ."
"Today in big cities public transport is necessary for tourists , students , kids and workers ; but the situation is very different in small cities .",In Italy there are few cities with an underground and often in the smaller cities there are only buses .
In Italy there are few cities with the hunderground and often in the smaller cities there are only bus .,"A good public transport system is the sign of a civilized city . In this way there are fewer cars , so less traffic ."
A good public transport is the sign of a civilized city . in this way there are fewer cars so less traffic .,I hope for the next generations for a better public transport service and an increase of its use .
I hope for the next generations a better public service and an increasement of its use .,"Thanks to this new life style , our cities will be more liveable ."
thanks to this new life stryle our cities will be more liveable .,"At 6:20 I open my laptop , go to Youtube.com and start to study French with Mrs ."
"At 6:20 I open my laptop , go to page : Youtube.com and start to study French with Mrs .",I write down new French vocabulary or grammar in my notebook .
I write down new French vocabularies or grammars into my notebook .,"Around 7:15am , I take a shower and get dressed . , I usually wear jeans and T - shirts ."
"Around 7:15am , I take a shower and get dressed , I usually wear jeans and T - shirts .","I pack my backpack , pick up my garbage bag and look around my room for one last time to make sure I have n't forgotten anything . I go downstairs and put the garbage bag into the trash bin ."
"I pack my backpack , take my garbage bag and look around my room for one last time to make sure : I do n't forget anything . I go downstairs and put the garbage bag into the trash bin .",I go to the garage to get my motorbike .
I go to the garage to take my motorbike .,It takes me about 30 minutes to drive to my company . It depends if the traffic 's good .
"It takes me about 30 minutes to drive to my company , It depends if the traffic 's good .","As usual , I buy a coffee and breakfast on the way . I can have bread or sweet potato for my daily breakfast ."
"As usual , I buy a coffee and breakfast on the way , I can have bread or sweet potato for my daily breakfast .","I have many choices for lunch , but I prefer Hu Tieu or Pho ."
I have many choices for lunch but I prefer Hu Tieu or Pho .,I go to my art class from 6:20pm to 9 pm on Tuesday and Thursday evenings .
I go to my art class at 6:20pm to 9 pm on Tuesday and Thursday evening .,"The other evenings , I stay at home and read books , or do some English exercises to improve my English skills ."
"The other evening , I stay at home and read books , or do some English exercises to improve my English skills .","On the weekend , I wake up at 6:15am , but I get up at 7 am . I still study French with Mrs Alexa as usual . Saturday afternoon I hang out with my boyfriend . We go to the cinema or the coffee shop ."
"On the weekend , I wake up at 6:15am but I get up at 7 am . I still study French with Mrs Alexa as usual . Saturday afternoon I hang out with my boyfriend , we go to the cinema or the coffee shop .","Sometimes , we meet our mutual friends and have dinner with them ."
"Sometimes , we meet our mutual friend and have dinner with them .","Now that I 'm on holidays , I watch more TV , especially some series like Criminal Investigation or The Mentalist ."
"Now , that I 'm on holidays , I watch more tv , especially some series like : Criminal Investigation or The Mentalist .","To relax , I usually read , listen to music , go to the cinema , hang out with friends , go shopping , ride a bike or swim ."
"To relax , I used to read , listen to music , go to the cinema , hang out with friends , go shopping , ride a bike or swim .","What do you do to relax , besides watching TV ?"
"What do you do to relax , beside watching TV ?","The reasons for Greece 's terrible economic situation are that Greece has surrendered its currency sovereignty to the European Central Bank , so that Greece could not apply monetary policy to spur its economy , and the Greek government is very corrupt , so that Greeks could easily dodge taxes ."
"The reasons for Greece 's terrible economic situation are that Greece has surrender its currency sovereignty to the European Central Bank , by which Greece could not apply monetary policy to spur its economy , and the Greek government is very corrupted so that Greeks could easily dodge taxes .","Monetary policy could be a very useful short term financial tool for a government to stimulate its worsening economy , and , from empirical experience , many countries have successfully applied such policy ."
"Monetary policy could be a very useful short term financial tool for a government to stimulate its worsening economy , and , from the empirical experience , many countries have successful applied such policy .","In 2012 , the Japanese central bank unprecedentedly depreciated the Yuan , which has obviously improved its exports and recovered its economy from stagnation ."
"In 2012 , Japanese central bank unprecedented depreciated Yuan , which has obviously improved its exports and recovered its economy from stagnation .","Obviously , Taiwan has its own currency , the new Taiwan dollar , and if Taiwan 's economy was worsening someday , the Taiwanese government could simply mimic what the Japanese government did in 2012 ."
"Obviously , Taiwan has its own currency , new Taiwan dollar , and if Taiwan 's economy is worsening someday , Taiwanese government could simply mimic what Japanese government did in 2012 .","Not only is Taiwan different from Greece in currency sovereignty , it also wins in government efficiency ."
"Not only Taiwan is different from Greece in currency sovereignty , it also wins in government 's efficiency .","According to a global survey , Taiwan has a reputation for effectiveness , in which the Taiwan government has legislated severe laws to prevent corruption ."
"According to a global survey , Taiwan wins reputation in effectiveness , in which Taiwan government has legislated severe laws to prevent corruption .","Therefore , the Taiwanese have to pay taxes by regulation and do not dare to evade taxes ."
"Therefore , Taiwanese have to pay taxes by regulation and do not dare to evade taxes .","Without a doubt , the efficiency of the Taiwanese government is beneficial to people 's welfare ."
"Without a doubt , the efficacy of Taiwanese government is beneficial to people 's welfare .","Therefore , Taiwan could not be sunk like Greece ."
"Therefore , Taiwan would not be sunk down like Greece .","As a country , Taiwan has to stick to its ordinary path to create a lovely and healthy environment for its citizens ."
"As a country , Taiwan has to stick to its ordinary path to create lovely and healthy environment to its civilians .","Once upon a time , there was a mason called Nick who had a family of four , two sons and his wife , but they had conflicts about their children 's studies , and because the money he earned was not enough to maintain the whole family they lived in poverty ."
"Once upon a time a mason called Nick that had a family of four , two sons and his wife but they had conflicts with the studies of their children , the money he earned was not enough to maintain the whole family they were in poverty .","His kids dreamed of a big house that had a pool , a third floor , a Jacuzzi and a beautiful view to the beach . They also wanted to have a dog . If they had one , it would be called Winy ."
"His kids dreamed with a big house that has a pool , a third floor , Jacuzzi and a beautiful landscape to the beach , also they wanted to have a dog , if they had one it would be called Winy .","They told every dream to their dad , and they knew he would enforce it even though , under the circumstances , it seemed to be impossible , he would try ."
"They told every dream to their dad , and they know he would enforce it even though under the circumstances it seemed to be impossible he would try .","Next week a cousin that he did not know . He was a very rich man and when he found out about their problem , he decided to help , so he gave them an incentive ."
"Next week a cousin that he did not know , he was a very reach man and when he knew about their problem he decided to help so he gave them an incentive .","He said that if Nick built a house with two floors , he would buy it and pay for the children 's studies lifelong , which gave a reverse to the impossible ."
"He said that if Nick makes a house of two floors he would buy it and pay the studies of the children lifelong , which gave a reverse to the impossible","Nick started making the plans for the house . From that moment , he trended to get to his house and immediately drag the plans and continue working . When he finished the plans after months of working on them , he started to bring it to life . The house would be made of wood because he could not pay for more ."
"Nick started making the planes for the house , from that moment he trended to get to his house and at the moment drag the planes and continue working when he finished the planes after months of working on them he started to bring it to life , the house would be made of wood because he could not pay for more .","After months of working on the house , he finished , and his cousin gave him a bonus reward of one million dollars to start with , buying a big house with everything they wanted ."
"After months of working in the house he finished , and his cousin gave him a bonus reward of one million dollars to start with , buying a big house with everything they want .","When they reached eighteen , they could get a good job because of their good education ."
When they got eighteen they could get a good job because of their good studies .,They could give a good life to their families and also have a dog called Winy . And all this thanks to the rich man that nobody knew .
"They could give a good life to their families and have a dog also called Winy , and all this thanks to the rich man that nobody knew .","The pie chart shows the principal causes which explain why agricultural lands become less productive , whereas the table correlates these causes with three different regions of the world which had land degraded , namely North America , Europe and Oceania , during the 1990s ."
"The pie chart shows the principal causes which justify why agricultural lands became less productive , whereas the table correlates these causes with three different regions of the world which had land degraded , namely North America , Europe and Oceania , during the 1990s .","Overall , it is clear that the main causes of land degradation were deforestation and over - grazing ."
"Overall , it is clear that the main causes for land degredation were deforestation and over - grazing .","These causes also had a negative impact on two regions that were analysed , in Europe and Oceania , and , consequently , these areas had higher rates in terms of total land degraded ."
"These causes also had a negative impact on two regions that were analysed , in Europe and Oceania , and , consequently , these areas had higher rates in terms of total land degreaded .","A closer look at the pie chart reveals that over - grazing was the most significant reason why land was so degraded , with the highest percentage of 35% ."
"A closer look at the pie chart reveals that over - grazing was the most important reason why land was so degraded , with the highest percentage of 35% .","This was followed by deforestation , with 30% , while over - cultivation had 28% ."
"This was followed by the deforestation , with 30% , while over - cultivation had 28% .","Finally , 7% could be explained by other reasons ."
"Finally , 7% could be explained for other reasons .",It may be explained by the fact that there was an excess of chemicals in the agricultural activity .
It may be justified by the fact that there was an excess of chemicals in the agricultural activity .,"In the first case , Europe had the highest percentage of land degraded by deforestation and over - cultivation , 9.8% and 7.7% respectively ."
"In the first case , Europe reprented the highest percentage of land degraded caused by deforestation and over - cultivation , 9.8% and 7.7% respectively .","This had a great impact on total land degraded as Europe was more affected , with a total of 23% ."
"This was a great impact on total land degraded as Europe was more affected , with a total of 23% .","On the other hand , Oceania had the highest land degraded rate at 11.3% because of over - grazing , which also contributed to having 13% of land degraded ."
"By another side , Oceania had the highest land degraded rate at 11.3% bacause of over - grazing , which also contributed to having 13% of land degraded .","By contrast , in general , North America had the lowest rates for deforestation and over - grazing , with 0.2% and 1.5% respectively ."
"By contrast , in general North America had the lowest rates in deforestation and over - grazing , with 0.2% and 1.5% respectively .","For this reason , this region presented the lowest percentage of land degraded , with only 5% ."
"for this resaon , this region presented the lowest percentage of land degraded , with only 5% .","If you travel to Guangzhou , you must n't miss this series because it is a symbol of Guangzhou ."
"If you travel to Guangzhou , you ca n't miss this series because this is a symbol of Guangzhou .",Canton Tower is located at the intersection of Guangzhou New city Central Axes and the Pearl River .
Canton Tower is located at an intersection of Guangzhou New city Central Axes and Pearl River .,It is the tallest tower in China and the third tallest tower in the world .
It is the highest tower in China and the third highest tower in the world .,"The height of the tower is 600 metres , with 450 metres of main body and 150 metres of antenna ."
"The height of the tower is 600 metres , with 450 metres main body and 150 metres of its antenna .",The tower has a special name called ' slim waist ' because the shape of it is twisted .
The tower has a special name called ' slim waist ' because the shape of it is twisting .,We can see a different view of the tower from different angles .
We can see different picture of the tower from different angles .,"This is not only a sightseeing building , but also has a lot of recreational facilities ."
"This is not only a sightseeing building , but also has a lot of recessional facilities .","For example , the tower has a 4D cinema , the highest revolving restaurant , and so on ."
"For example , the tower has 4D cinema , the highest revolving restaurant and so on .",Cantonese people always spend their holidays with their children here .
Cantonese always spend their holiday with their child here .,"First , I must say that I do n't consider that my family members are my best friends , not only because they have other problems to care about , but also because I do n't know how to tell them my problems ."
"Firstly , I must say that I do n't consider that my family members are my best friends , not only because they have other problems to care about but also because I do n't know how to tell them my problems .","However , we consider a friend a person you can have fun with , laugh with and meet . I 'm used to doing that with my parents and my brothers , but it 's not the same as when I meet my best friends ."
"However , we consider a friend that person you can have fun with , laugh and meet . I 'm use to do that with my parents and my brothers but it 's not the same as when I meet my best friends .","Moreover , I think that I would n't ask them to have what we call a "" therapy moment "" as I do with my best friends when I 'm worried about something or someone . In fact , I would n't know how to start telling them about that ."
"Moreover , I think that I should n't ask them to have what we call a "" therapy moment "" as I do with my best friends when I 'm worried for something or someone , in fact I would n't know how to start telling them about that .",Some teenagers have the good fortune to be open - minded and they know how to speak with their parents and it 's a good way to solve problems .
Some teenagers have the luck to be open - minded and they know how to speak with their parents and it 's a good way to solve problems .,I think that I should have more confidence in my family and remember that they wo n't leave me because of something I have done in the way my best friends could do .
In my opinion I think that I should have more confidence with my family and remember that they wo n't leave me for something I had done in other way my best friends can do .,"In my town , there is no future for public transport , because the time necessary to get to the city centre is the same walking or going by bus ."
"In my town , there is no future for public transport , because the time necessary to get to the city centre is the same walking or by bus .","Travelling by bus is expensive , boring and annoying ."
"Travel by bus is expensive , bored and annoying .","The route makes many stops in different places , so the way on the map is a mess ."
"The route makes many stops , in different places , so the way in the map is a mess .","It is like that on all days , except Sunday ."
"This is like that all days , except Sunday .","On Sunday , the bus does n't work until 3 p.m."
"On Sunday , the bus do n't work until 3 p.m.","From that time , there is only one service every hour , until 10 p.m. Any one of these 7 buses takes less than a half hour to get to the city centre , in spite of the fact that Sunday has no traffic jams ."
"From this hour , there is only one service every hour , until 10 p.m. Anyone of these 7 bus takes less a half hour to get to the city centre , in spite of Sunday has not traffic jam .","Buses are slow and noisy , and when you can get off of them , you are tired and angry , and you are probably not on time ."
"Buses are slow and noisy , and when you can get off of them , you are tired and angry , and probably you are not on time .",It is much more convenient if you walk to the city centre .
Is much more convenient you walk to the city centre .,"At the same time , you can get fit by walking approximately 30 or 40 minutes , and you will not have a problem with parking your car ."
"At the same time , you can get fit walking approximately 30 or 40 minutes , and you will not have the problem for park your car .","You will spend the same time travelling by bus or walking , but the difference is getting angry or not ."
"You will expend the same time travelling by bus or walking , but the difference is to get angry or not .",Transportation is a means of movement from one geographical location to another by any means of transport .
Transportation is a means of movement of one geographical location to another by any means of transport .,If a person wanted to travel from Kano to Lagos he had no choice but to trek .
If a person wants to trevel from Kano to Lagos he has no choice but to track .,"Therefore , it was not easy back then for anybody to use other means because there were none ."
"Therefore , is not easy back there for anybody to use other means because there was non .","Now , there are many means of transportation ."
At present there are many means of transportation .,Technology brought about lots of development in transportation .
The technology brought about lots of development in transportation .,"We can travel by air using aircraft ; aeroplane , helicopter etc ."
"We can travel by air using the aircraft , aeroplane , helcopter and rest .","Unlike before , we have big ships to use on the sea ."
Unlike before we have big ships to use on the sea .,I believe that technology has really improve our means of our transport .
I believed that technology really improve our ways and means of our transport .,"So , whoever wants to star a journey has several choices of transport , either by sea , by air , by land or on foot ."
"So whoever want to star a journey has several choice of transport , eaither by sea , by air , by land or by foot .","I must not forget to talk about cars , lorries and other vehicles ."
"I can not forget to talk about cars , lorry and vehicles .",Thanks .
Thanks,"Swimming is my favourite sport in the world . I started it when I was five years old . I really enjoy it , I feel that the water is my place in the word . I feel free ."
"Swimming is my favourite sport in the world , I started it when I was five years old , I really enjoy it , I feel that the water is my place in the word , I feel free .","Although I have taken part in many competitions , there was one which was the most enjoyable experience of my life ."
"Although I took part in many competitions , there are one which was the most enjoyable experience in my life .",I had to swim in the Parana river with all the swimmers and coaches .
I have to swimming in the Parana 's river with all the swimmers and coaches .,"First , when I was on the starting line , I felt I could not finish the competition . Then , when we were in the water the coaches did not stop encouraging us so it was easy to swim to the finishing line . I was so excited to see our families waiting for us , clapping and shouting loudly every time one of us arrived ."
"First , when I was in the starting line I felt could not finish the competition , then when we were in the water the coaches did not stop to encourage so was easy to swim to the finishing line . I was so exciting to see our family waiting for us clapping and shouting loudly every time one of us arrived .","If you are interested in taking part in this sport , I would suggest buying all the equipment you will need : a comfortable swimsuit , goggles and a huge bag to keep them ."
"If you are interested in taking part in this sport , I would suggested to buy all the equipment you will need : a comfortable swimsuit , goggles and a huge bag to keep them .","' The moment of realisation hits you like a ton of bricks , leaving you with a life full of regret and guilt '"
"' The moment of realisation hits you like tons of bricks , leaving you in a life full of regret and guilt '","His whole life , he only wished for one thing , and that was to be popular ."
"His whole life , he only wished for one thing and that was to be popular .","People were attracted to her quite easily , and often , they would find themselves adoring and admiring her ."
"People got attracted towards her quite easily and often , they would find themselves adoring and admiring her .",The pain of jealousy .
Pain of jealousy .,That girl who had left him in time of need .
That girl who had left him in need of time .,That girl who had done nothing but harm to him .
That girl who had done nothing but harm for him .,"An innocent dare made by Sara , which led Michael to walk in the path of wrong ."
An innocent dare made by Sara which led Michael to walk in a path of wrong .,Courage can change lives .
courage can change lives,"They had n't isolated him , he had ."
"They had n't isolated him , rather he had .","They had n't abandoned him , neither had they distanced themselves from him ."
They had n't abandoned him neither had they distanced themselves from him .,She had always wanted to be with him but he had closed the door to her .
She had always wanted to be with him but he had closed the door for her .,He had been blinded by rage .
He had been blind by rage .,He had made such a huge mistake .
He had done such a huge mistake .,No tears or apologies would make a less culprit .
No tears or sorrys would make a less culprit .,"Right now , he has the one thing he always wished for - popularity , but only now does he realise , that it was meaningless , pointless ."
"Right now , he has the one thing he always wished for - popularity , but only now does he realise , that it was meaningless , point less .",Each and every colour glows in the dark giving hope in the darkness .
Each and every colour glow in the dark giving hope out of the darkness .,"One of the advantages pointed out by local politicians in the meeting was that this bypass would lower the rate of air pollution around town , which I strongly agree with , because the extra traffic caused by the passing cars added to the vehicles used by the locals causes massive smog in the atmosphere , not to mention being terribly bad for the health of the walking and cycling citizens , especially young children and babies ."
"One of the advantages pointed out by local politicians in the meeting was that this bypass would lower the rate of air pollution around town , which I highly agree with because the extra traffic caused due to the passing cars added to the vehicles used by the locals cause massive smog in the atmosphere , not to mention being terribly bad to the health of the walking , cycling citizens , especially young children , babies .","Mostly from 7 to 8 am and 3 to 4 pm , when people go to and finish work . That is when we get the most awful traffic jams , sometimes it takes an hour to get from A to B in town , which is a terribly long time , not to mention parents who have to take their children to school , nursery and then get to work , too ."
"Mostly during 7 to 8 am and 3 to 4 pm , when people go and finish work , that is when we get the most awful traffic jams , sometimes it takes an hour to get form point A to B in town which is a terribly long time not to mention parents who have to take their children to school , nursery and then get to work , too .","On the other hand , the bypass might cause a drastic drop in tourism in the town ."
