"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
"I also helped to serve people who would like drink , I was like a barman .",I also helped to serve people who would like to drink . I was like a barman .
"I saw old people , child .... and for me it was very strange and it was very interessting , because I met a lot of people and the best thing was that I knew the pop group who sang , it was fantastic .","I saw old people , children .... and for me it was very strange and it was very interesting , because I met a lot of people and the best thing was that I knew the pop group who sang . It was fantastic ."
If I had an other opportunity to do that I think that I will do .,If I have another opportunity to do that I think that I will do .
Write me as soon as possible .,Write to me as soon as possible .
"Dear sir ,","Dear Sir ,"
"I am writing to express my dissatisfaction with the musical show which the Circle Threatre has presented . I recently had a week 's holiday in London and during my stay I came to your threatre to see the "" Over the Rainbow "" .","I am writing to express my dissatisfaction with the musical show which the Circle Theatre is staging . I recently had a week 's holiday in London and during my stay I went to your theatre to see "" Over the Rainbow "" ."
"In the advertisment , I had read that Danny Brook was starring but she was not .","In the advertisement , I had read that Danny Brook was starring but he was not ."
A different actor was playing durring the musical and he was very disappointing .,A different actor was performing in the musical and he was very disappointing .
"The play should start at 19.30 but it started forty - five minutes later , we were waitting over there with out doing anything .","The play should have started at 19.30 but it started forty - five minutes later , we were waiting there without anything to do ."
After the show had finished I went to the theatre restaurand to hav something to drink and get relaxed but it was closed because the stuff was on holiday .,"After the show had finished , I went to the theatre restaurant to have something to drink and relax but it was closed because the staff was on holiday ."
Moreover the discounts were not available as you say in the advertisment and I paid £ 20 .,Moreover the discounts were not available as you said in the advertisement and I paid £ 20 .
I would like some refand because It was one of the worst evenings in my life it if this matter does not solve I will go further .,"I would like a refund because it was one of the worst evenings of my life . If this matter is not resolved , I will take it further ."
I hope that it will be solved properly,I hope that it will be resolved properly .
"He and his friends got in trouble because of this habit , last week .",He and his friends got into trouble because of this habit last week .
"As they were watching T.V at Nick 's house last Sunday , Sally noticed that their cut Curly was hurt , she could not walk .","As they were watching TV at Nick 's house last Sunday , Sally noticed that their cat Curly was hurt , and she could not walk ."
"The children were very unhappy and sorry about the pet . ""","The children were very unhappy and felt sorry for the pet . """
"Somebody had hurt her and had let her without help "" Mourk said angrily .","Somebody hurt her and left her without help "" , Mourk said angrily ."
 We have to find him and make him pay for his action  Sally told them .," We have to find him and make him pay for his action  , Sally told them ."
Everybod agreed with her .,Everybody agreed with her .
"Suddenly Pat cried : "" Oh my Lord , Bad Jon had done this .","Suddenly Pat cried : "" Oh my Lord , Bad Jon did this ."
"Yesterday as I was arriving home I saw him in your yard Mack , he looked very satisfied , Curly was laying on the grass and ... "" "" Yes , Oh Lord he did it because we won his team at football "" Nick said . ""","Yesterday , as I was arriving home , I saw him in your yard , Mack . He looked very satisfied , Curly was lying on the grass and ... "" "" Yes , oh Lord he did it because we beat his team at football "" , Nick said . """
Hey Listen guys we will take his dog which love very much and we will sell it to Sally who wants one .,"Hey , listen guys , we will take his dog which he loves very much and we will sell it to Sally who wants one ."
"We will pay Curly 's doctor with these money that we will earn "" Pat said .","We will pay Curly 's vet with the money that we get "" , Pat said ."
"Next morning as Pat was going to school met Bad Jon . and told him "" Hey , you .","Next morning , as Pat was going to school , he met Bad Jon and said to him , "" Hey , you ."
Bad Jon understood and talked immediately to his father . who was the school minister about the children ' plan .,Bad Jon understood and talked immediately to his father who was the school minister about the children 's plan .
I 've recived your letter and I 'm very happy to know that I won the competition and the first prize .,I 've received your letter and I 'm very happy to know that I won the competition and the first prize .
"In answer to your questions , I will have to say that I just can go to the campament on July because of my job , they only gave me that month free .","In answer to your question , I will have to say that I can only go to the camp in July because of my job ; they only gave me that month off ."
"In the camp I would like to stay in log cabins because I hate to sleep uncomfortable and , I will if I stay in a tent . Acording to your letter , you asked me to choose two of your activities .","In the camp I would like to stay in a log cabin because I hate to sleep badly and I will if I stay in a tent . In your letter , you asked me to choose two of your activities ."
I prefere to do some climbing because that 's what I do in my spare time and I do it quite well .,I would prefer to do some climbing because that 's what I do in my spare time and I do it quite well .
"Apart from that , if you give surfing classes I would love to take them ; surfing is one of my chilhood drems that I never came true .","Apart from that , if you give surfing classes I would love to take them ; surfing is one of my chilhood dreams that never came true ."
I have a few questions that you might be able to answer me .,I have a few questions that you might be able to answer .
"I do n't know what tipe of clothes do I have to take and the amount of money that I 'm going to spend , so if you please could help me giving me this information I would be very pleased .","I do n't know what type of clothes I have to take or the amount of money that I 'm going to spend , so if you , please , could help me by giving me this information I would be very pleased ."
I m looking forward to go to the camp and hearing from you soon,I 'm looking forward to going to the camp and hearing from you soon
Shooping is not always enjoyable .,Shopping is not always enjoyable .
"We all have been shooping once in our lifes and sometimes it probably has not been very enjoyable , why ? we had a class discussion and we all agree in some points .","We have all been shopping once in our lives and sometimes it probably has not been very enjoyable , why ? We had a class discussion and we all agree on some points ."
"For example if we go to a big mall we will probably never find what we were looking for , and instead of buing what we came for we will go out with lots of things that we liked but we will never use .","For example , if we go to a big mall we will probably never find what we are looking for , and instead of buying what we came for we will leave with lots of things that we liked but we will never use ."
And that will be waste of time .,And that will be a waste of time .
"Sometimes we have to take our little brothers with us , because our mother is n't home , and then is where the problems begin .","Sometimes we have to take our little brothers with us , because our mother is n't home , and that is when the problems begin ."
"Most of the times one get lost , or they start plaing around , making noise , bothering people , etc ... And when this happens you get on a bad mood and you 'll have a bad shooping day .","Most of the time he gets lost , or they start playing around , making noise , bothering people , etc ... And when this happens you get in a bad mood and you 'll have a bad day shopping ."
"So if you want to have a good relaxing shooping day , we recommend you not to go with your little brothers and to go with enogh time to look arround for what you really want .","So if you want to have a good , relaxing day shopping , we recommend you do n't go with your little brothers and to go with enough time to look around for what you really want ."
"I am writing in response to your letter , in which you told me I am the winner in your competition , and my intention is to try to give you all the information you may need according to your letter .","I am writing in response to your letter , in which you told me I am the winner in your competition , and my intention is to try to give you all the information you may need ."
"I would like to travel in July because I had another trip to Spain in August , that is the perfect month for me , otherwise I would not travel to Spain .","I would like to travel in July because I have another trip , to Spain , in August , which is the perfect month for me , otherwise I would not travel to Spain ."
"About accommodation , I would prefer tents instead of log cabins and the reason is I have never used tents and this could be a very exciting experience for me .","About accommodation , I would prefer a tent instead of a log cabin and the reason is I have never used tents and this could be a very exciting experience for me ."
The two activities which I find better for me are swimming and sailing .,The two activities which I think would be best for me are swimming and sailing .
"I love the sea , that is why I became interested in those activities since I was ten , therefore I have a lot of experience in both .","I love the sea , which is why I became interested in those activities when I was ten . Therefore I have a lot of experience in both ."
"Thank you for asking about my latest good experience , I let you know what the important details were .",Thank you for asking about my latest good experience . I will let you know what the important details are .
"As you know I helped at a pop concert last month , I did things as unusual in me as cleaning instruments , organise people , and also look after the clothes of the artists .","As you know , I helped at a pop concert last month . I did things as unusual for me as cleaning instruments , organising people , and also looking after the artists ' clothes ."
"In fact everything was very easy , the instruments were already clean , and with the clothes my job was only wait there and give them what they asked for .","In fact everything was very easy , the instruments were already clean , and with the clothes my job was only to wait there and give them what they asked for ."
"Organise people involved , just a couple of things , say to people how to do the same as me and when .","Organising people involved just a couple of things , telling people how to do the same as me and when ."
"The most exciting thing was to be able to speak to the singers , the whole environment , and of course to the listen to the Concert in the very first position .","The most exciting things were to be able to speak to the singers , the whole environment , and of course to listen to the Concert from the very first row ."
"All that I can say now is that I would do it again , I will never forget that day .",All that I can say now is that I would do it again . I will never forget that day .
I 'm writting to you because I 've been in the International Arts Festival and it was a pleasure .,I 'm writing to you because I went to the International Arts Festival and it was a pleasure .
"As well , I want you to know my opinion and I 'd like to give you my suggestions , because it would be useful to you for the next festival .","Also , I want you to know my opinion and I 'd like to give you my suggestions , because it would be useful for you for the next festival ."
"Firstly , I want to congratulate you for the idea , I think that it 's very important the development of the arts and that everybody could assist without paying too much .","Firstly , I want to congratulate you on the idea . I think that the development of the arts is very important and that everybody could attend without paying too much ."
Having a ticket for all the events is a great method because it 's an organised way of paying and you win time .,Having one ticket for all the events is a great method because it 's an organised way of paying and you save time .
"On the other hand , I must tell you that some concert halls are too small , so you ca n't be enough confortable to apreciate the event .","On the other hand , I must tell you that some concert halls are too small , so you ca n't be comfortable enough to appreciate the event ."
"Other thing , is that the artists come only from six countries , so do n't cheat the people by saying that they are from all the world .","Another thing is that the artists come only from six countries , so do n't deceive people by saying that they are from all over the world ."
"In my opinion , you should call more artist from other countries and have some concert halls bigger or may be change the distribution .","In my opinion , you should invite more artists from other countries and have some bigger concert halls or maybe change the distribution ."
"Well , I think that everything is told but could you tell me , if it 's possible , if there will be more plays and films next year ?","Well , I think that I have told you everything but could you tell me , if possible , if there will be more plays and films next year ?"
"Faithfully ,","Yours Sincerely ,"
"Thanks for your letter , it was nice to hear from you again .",Thanks for your letter : it was nice to hear from you again .
"I 've recently started the classes so all the rules were given to us , like you know , the first day .","I 've recently started classes so all the rules were given to us , as you know , on the first day ."
"As you want me to tell you how about the rules are here , I 'll start .","As you wanted me to tell you what the rules are like here , I 'll start ."
"Firstly , in our classroom you ca n't shout , you must be quite and sat .","Firstly , in our classroom you ca n't shout , you must be quiet and sit down ."
You must pay attention always because you do n't know if the teacher will ask you some question .,You must always pay attention because you do n't know if the teacher will ask you some question .
"In exams , you ca n't talk to the teacher , either you must n't eat chuingham or take a walkman with you .","In exams , you ca n't talk to the teacher , and you must n't eat chewing gum or take a Walkman with you ."
In my home I can avoid that rules .,In my home I can avoid those rules .
My mum only does n't want me to arrive late .,My mum just does n't want me to arrive late .
"However , I can go dancing whenever I want but telling her previously .","However , I can go dancing whenever I want but I must tell her beforehand ."
"My mum is a lovely woman and she does n't know how much I love her because most of the day I 'm outside , but that 's the true .","My mum is a lovely woman and she does n't know how much I love her because most of the day I 'm outside , but that 's the truth ."
"So , I 'm free when I 'm out of the school . I 'd like it would be nicer going there .","So , I 'm free when I 'm out of school . I 'd like it would be nicer going there ."
"I am writing to complain about a musical show , which I have seen in your theatre , in London during my holiday .","I am writing to complain about a musical show , which I saw in your theatre in London during my holiday ."
"According to the advertisement , which appeared in one of the London 's newspapers , I would like to present you some of my complaines about your musical spectacle .","Considering the advertisement , which appeared in one of London 's newspapers , I would like to present you with some of my complaints about your musical spectacle ."
"Firstly , I would like to say that the cast , which you "" offered "" has been changed .","Firstly , I would like to say that the cast , which you "" advertised "" , has been changed ."
"The man who played the main male role was different than this one , who was mentioned in the advertisement .",The man who played the main male role was not the one who was mentioned in the advertisement .
"Secondly , the time when your musical should start has been changed , making your show delayed for nearlly one hour !","Secondly , the time when your musical should start was changed , delaying your show for nearly one hour !"
"In your offer I noticed an information about discounts which were supposed to be available - no , they were not !","In your advertisement I noticed some information about discounts which were supposed to be available - no , they were not !"
"For unknown for me reasons , I found the restaurant closed ( there was no information telling about a cause of closing it ) .","For unknown reasons , I found the restaurant closed ( there was no information giving a reason for closing it ) ."
"Finally , you guaranteed "" a perfect evening out "" , but for me it was the worst visit in theatre in two years time .","Finally , you guaranteed "" a perfect evening out "" , but for me it was the worst visit to the theatre in two years ."
Neither beautiful surranding near your theatre nor comfortable sits will not recompansate my horrible evening .,Neither the beautiful surroundings near your theatre nor the comfortable seats compensated for my horrible evening .
"Therefore , I would like you to send my money back , because I think I deserve it as a viewer .","Therefore , I would like you to send my money back , because I think I deserve it as a member of the audience ."
Nevertheless it has some advantages and drawbacks .,"Nevertheless , it has some advantages and drawbacks ."
In my opinion my daily life is full of modern technology .,"In my opinion , my daily life is full of modern technology ."
"I meet her "" at every corner "" : at home , at school , in the backyard and so on .","I meet it "" at every corner "" : at home , at school , in the backyard and so on ."
It also changed my life - style for better - I think .,It also changed my lifestyle for the better - I think .
"Every morning I use a toaster to have my sandwiches done , washing machine which makes my clothes clean again .","Every morning I use a toaster to have my sandwiches done , a washing machine which makes my clothes clean again ."
"Recently , modern technology means : mobile phones , computers , internet , super - fast cars etc .","Today , modern technology means : mobile phones , computers , the Internet , super - fast cars etc ."
"These improvements helps me with my ordinary dutes . I can do my homework on computer , prepare for the class test by searching information in Internet and use a mobile phone every time when I want to connect with one of my parents .","These improvements help me with my ordinary chores . I can do my homework on a computer , prepare for the class test by searching for information on the Internet and use a mobile phone every time I want to talk with one of my parents ."
"However , technology has a bad influence on us , generally on our healf .","However , technology has a bad influence on us - generally on our health ."
"Couple of months ago , some foreign scientists noticed that mobile phones make a possibility of getting sick with cancer .","A couple of months ago , some foreign scientists noticed that mobile phones make a possibility of getting sick with cancer ."
Also fast and well - improved car increase a risk of pollution of our air and mainly lead to very dangerous accidents .,Also fast and high - tech cars increase the risks of pollution in our air and mainly lead to very dangerous accidents .
"In conclusion I think that modern technology makes our life easier , nevertheless , we should avoid any possible risks connected with these improvements .","In conclusion , I think that modern technology makes our life easier . Nevertheless , we should avoid any possible risks connected with these improvements ."
"However he did not act , and his sustitute was not very good at acting .","However , he did not act , and his substitute was not very good at acting ."
In addition the theatre restaurant was not available because of the waiters ' strike .,In addition the theatre restaurant was not open because of the waiters ' strike .
"In conclusion , not only my evening was horrible but also expensive .","In conclusion , not only was my evening horrible but also expensive ."
"That is why I ask you for refunding my money , or at least part of it .","That is why I ask you to refund my money , or at least part of it ."
Now I am writing to you because a story of Agatha Christie is going to be read on the radio .,Now I am writing to you because a story by Agatha Christie is going to be read on the radio .
"He is not as well - known as Poirot or Miss Marple , but his personality it quite interesting .","He is not as well - known as Poirot or Miss Marple , but his personality is quite interesting ."
Not only is the plot interesting but also it catchs your attention since the first moment .,Not only is the plot interesting but also it catches your interest from the first moment .
"Finally , you should pay attention to the ending which is surprising .","Finally , you should pay attention to the ending , which is surprising ."
"I am writing to complain about the show "" Over the rainbow "" taking part the 15th of June","I am writing to complain about the show "" Over the rainbow "" , taking place on the 15th of June"
The last week I have been to London for a holiday .,Last week I went to London for a holiday .
There is saw the advertisement for this show and I decided to go there .,There I saw the advertisement for this show and I decided to go .
I went to buy the tickets but when I paid there was not any discount avaible .,I went to buy the tickets but when I paid there was not any discount available .
In the advertisement you told me I would have discounts .,In the advertisement you told me I would get a discount .
This was not the worst thing because when I arrived at the theatre I was waiting fourty five minutes because the show should start at 19:30 and it started at 20:15 .,This was not the worst thing because when I arrived at the theatre I waited forty - five minutes because the show should start at 19:30 and it started at 20:15 .
"When it started the main actor Danny Brook was not in , another worse actor was taken his part .","When it started the main actor Danny Brook was not in it , another , worse actor had taken his part ."
In my opinion when the main actor can not do the show it is better not do the show than do it with a horrible actor .,In my opinion when the main actor can not do the show it is better not to do the show than to do it with a horrible actor .
When it finished I arrived at the theatre restaurant but it was closed because they are going to do a new better restaurant .,"When it finished , I went to the theatre restaurant but it was closed because they are going to open a new , better restaurant ."
In my opinion you should refuse my money because the evening and the show were so terrible .,In my opinion you should refund my money because the evening and the show were so terrible .
Your faithfully,Yours faithfully
"But I did not know it , and I told her my secret : I have fell in love with Paul a friend of us .","But I did not know it , and I told her my secret : I had fallen in love with Paul , a friend of ours ."
No one know it else her .,No one knew it but her .
The wendsday Pat phoned me and told me that Sally also love Paul .,That Wednesday Pat phoned me and told me that Sally also loved Paul .
"The thursday Sally phoned me , because we are also friends , but she did not tell me anything about Paul .","On the Thursday Sally phoned me , because we are also friends , but she did not tell me anything about Paul ."
The weekend started and this Friday we went to the dyscoteque .,The weekend came and that Friday we went to the discotheque .
"I spent there a good time but at the end , when we were going to come back home , I saw Sally kissing Paul ! !","I had a good time there but , at the end of the night , when we were going to go back home , I saw Sally kissing Paul ! !"
When Sally came out the dyscotheque I was very nervous and I started to shout her .,When Sally came out of the discotheque I was very angry and I started to shout at her .
She hit me and I decided in this moment that I never should speak with her .,She hit me and I decided then that I should never speak to her again .
Paul ask Pat what had happened and she told him my secret .,Paul asked Pat what had happened and she told him my secret .
Now we are friends but I know that I can not tell her any secret .,Now we are friends but I know that I can not tell her any secrets .
It was actually very disappointing and I have to say that I want my money back as you said ' your pefect evening ' out in your advertisement and I rally do think it was not the perfect evening out .,It was actually very disappointing and I have to say that I want my money back as you said ' your pefect evening ' out in your advertisement and I really do think it was not the perfect evening out .
Here are the problems of your show .,Here are the problems with your show .
The price of ticket was another problem .,The price of the ticket was another problem .
I did not get discount .,I did not get a discount .
My daily life also got affected by modern technology a lot .,My daily life also has been affected by modern technology a lot .
The modern technology which changed my daily life most is a personal computer .,The modern technology which changed my daily life most is the personal computer .
"I can play games , listen to music , and I can do my course works in the computer .","I can play games , listen to music , and I can do my course work on the computer ."
The main advantage of modern technology is getting more informations in shorter time .,The main advantage of modern technology is getting more information in a shorter time .
I can go on internet in my house using computers or from outside using mobile phones .,I can go on the Internet in my house using computers or from outside using mobile phones .
I do n't have to go to library and read hundred 's of books to find informations anymore .,I do n't have to go to the library and read hundreds of books to find information anymore .
I have TV 's and radios so I can watch or listen to various newses and I do n't have to go to football pitches to see how the players are playing .,I have TV 's and radios so I can watch or listen to various news and I do n't have to go to football stadiums to see how the players are playing .
"There are , of course some disadvantages .","There are , of course , some disadvantages ."
"Unfortunately I was very disappointed with it , I was expected opposit .",Unfortunately I was very disappointed with it ; I was expecting the opposite .
First of all the advertisement where you have advertised your program and what the theatre was providing for you is totaly wrong .,"First of all , the advertisement where you advertised your show and what the theatre provides is totally wrong ."
"A came to look at my favorit actors Danny Brook and Tina Truelove , but whom I saw were another people .","I came to see my favourite actors Danny Brook and Tina Truelove , but the actors whom I saw were other people ."
"Another thing is that I took a particular amount of money to buy a tickets and when I apeared infrant of casses I found out that the cost of tickets on your advertisement and real price was n't the same , real price was much higher .","Another thing is that I took a particular amount of money to buy tickets and when I appeared in front of the ticket desk I found out that the cost of the tickets in your advertisement and the real price were n't the same , the real price was much higher ."
Also show started very late compere to what was writen on the advertisement .,Also the show started very late compared to what was written in the advertisement .
And I think you know how it is just sit and wait for 45min .,And I think you know how it is just sitting and waiting for 45 minutes
befor the beggining ?,before the beginning ?
"So , after all of that , I wanted to have a nice relaxing diner in your restaurant , I was very angry when I apeared infrant of closed doors and there was a notice , that the restaurant was n't working .","So , after all of that , I wanted to have a nice relaxing dinner in your restaurant . I was very angry when I appeared in front of closed doors and there was a notice that the restaurant was n't open ."
In fact writing to you just with one main reason . I 'll be really delightful to resive back the money for my ticket .,In fact I am writing to you with just one main aim . I 'll be really delighted to receive the money back for my ticket .
I 'm looking forword hearing from you .,I 'm looking forward to hearing from you .
Faithfuly yours,Faithfully yours
Begin at the begining .,Begin at the beginning .
"Look at historical books 400 - 600 years ago , or even in time of First and Second World War , how are sociaty changed , just because we did step up in the science and technology .","Look at the history books for 400 - 600 years ago , or even for the time of the First and Second World Wars , to see how society has changed , just because we stepped up the advance of science and technology ."
"In one hand scientist discovered a lot of medisent from different illneses , but in an enother hand they discovered many illneses about which we haven't herd before .","On the one hand scientists have discovered a lot of medicines for different illnesses , but on the other hand they discovered many illnesses which we had n't heard about before ."
I think this side of the question is balanced because before effect on our health was less than it is now .,I think this side of the question is balanced because before the effect on our health was less than it is now .
"More and more people died from some illness where s long time ago less people died from illneses , dispite that fact that they had less medisent .","More and more people die from some illnesses whereas a long time ago fewer people died from the same illnesses , despite the fact that they had fewer medicines ."
However technology nowerdays impoved so much and it changed our life a lot .,"However , technology nowadays has improved so much and it has changed our lives a lot ."
Today we ca n't even think how we could possibly leave without computers or without airplanes .,Today we ca n't even think how we could possibly live without computers or without aeroplanes .
"Computer it is our way of with outside world comunicat , where s with airplanes we can rich our parents , friends easily and much faster , then if we would use bouts or trains .","The computer is our way of communicating with the outside world , whereas with aeroplanes we can reach our parents and friends easily and much faster than we would if we used boats or trains ."
"Everyday scientist and technologyst discover and produce more and more new things and it is good , it has to be like that , we have to do forword not behind from the point where we are now .","Every day scientists and technologists discover and produce more and more new things and that is good . It has to be like that , we have to go forward not backward from the point where we are now ."
Society has to go forword not to stop on one place .,Society has to go forward not to stop in one place .
"Dear Mister ,","Dear Sir ,"
"I recently had the opportunity to see "" over the rainbow "" which was played last week in the Circle theatre .","I recently had the opportunity to see "" over the rainbow "" , which was performed last week in the Circle theatre ."
I 'm writing to you because I 'm very disappointed by the bad evening I spent there .,I 'm writing to you because I 'm very disappointed by the bad evening I had there .
"Actually , I read the advertisment for the show and there were a few mistakes on it .","Actually , I read the advertisement for the show and there were a few mistakes in it ."
"In fact , Danny Brook did n't play or appear on stage last Tuesday , the role was played by another - a quite bad - actor , less famous than Danny Brook .","In fact , Danny Brook did n't perform or appear on stage last Tuesday , his role was played by another - a quite bad - actor , less famous than Danny Brook ."
I 'm also sorry because I had to wait 45 mn before the pieces started .,I 'm also annoyed because I had to wait 45 minutes before the play started .
I was in London with some friends ( we were students ) and no discount was proposed or made for us .,I was in London with some friends ( we are students ) and no discount was offered or given to us .
We had to pay £ 15 each for seeing a miserable pieces .,We had to pay £ 15 each to see a miserable play .
"After the piece , we waned to eat at the theater restaurant but we could n't .","After the play , we wanted to eat at the theatre restaurant but we could n't ."
"As you can see , there are some ( volontary ? ) mistakes on the advertisment you made .","As you can see , there are some ( deliberate ? ) mistakes in the advertisement you made ."
That 's why I 'm asking you for giving us money back .,That 's why I 'm asking you to give us our money back .
I had a strange feeling then because it was just amazing to notice how money can attract so much people .,I had a strange feeling then because it was just amazing to see how money can attract so many people .
"Actually , my best friend would still remain Pat , even if he failed me .","Actually , Pat would still remain my best friend , even if he failed me ."
It 's not easy to keep such an enormous secret and I could n't keep it inside of me .,It 's not easy to keep such an enormous secret and I could n't keep it inside me .
I became quickly bored by this hypocrital attention they had for me .,I quickly became bored by this hypocritical attention they gave me .
"I always has been involved in many differents associations , which are fighting against AIDS or cancer .","I always have been involved in many different associations , which are fighting against AIDS or cancer ."
"I knew at this moment what to do exactly and finally , I could refind my ordinary life as an unpopular student .","I knew at this moment exactly what to do and , finally , I could recover my ordinary life as an unpopular student ."
"Kowloon , Hong Kong .","Kowloon , Hong Kong"
I am writting to complain about a musical show last weekend when I was in London .,I am writing to complain about a musical show last weekend when I was in London .
I felt very upset about you advertisement was totaly different between the musical show .,I felt very upset about your advertisement was totally different from the musical show .
"Secondly , the show started at 20:15 p.m instead of 19:30 p.m. Thirdly , a theatre restaurant was being closed .","Secondly , the show started at 20:15 instead of 19:30 . Thirdly , the theatre restaurant was closed ."
", It was really let me down ! !",It was really a letdown ! !
"How dared you could show "" You perfect evening out "" in you advertisement .","How could you dare say "" Your perfect evening out "" in your advertisement ."
It was very rediculous !,It was quite ridiculous !
"To be honestly , I would like you could return the money back to me .","To be honest , I would like you to return the money to me ."
I look forward to hearing you return back .,I look forward to hearing from you .
Thank for you patience .,Thank you for your patience .
"Your faithfully ,","Yours faithfully ,"
"Although , Pat is very smart and intelligent .",Pat is very smart and intelligent .
She like to talk with other people .,She likes to talk to other people .
She has a open - mind .,She has an open mind .
"So , she got many friend","So , she has got many friends ."
Lily was one of her best friend before three year .,Lily was one of her best friends for three years .
She enjoyed sharing everthing with Pat whatever what it was .,"She enjoyed sharing everything with Pat , whatever it was ."
Nick was Lily husband .,Nick was Lily 's husband .
Her husband was being fried last year .,Her husband had been fired the previous year .
Lily felt very nervous about their financial problem and their future .,Lily felt very nervous about their financial problems and their future .
As they went to getting a baby .,As they wanted to have a baby .
She told to Pat about what had happened in her family .,She told Pat about what had happened in her family .
And what she was worried .,And that she was worried .
"Of course , she knew Nick did n't like her to tell other what about his private .","Of course , she knew Nick did n't like her to tell other people about his private ."
She told to Pat that she did n't want other people know it except her .,She told Pat that she did n't want any other people to know about it except her .
"But in one gathering party , their friend want to show their concern , they went to ask about Nick and send him sympathy .","But at a party , their friends wanted to show their concern , and they went to ask about Nick and give him their sympathy ."
This let Nick very embrassed and got hurt .,This made Nick very embarrassed and he felt hurt .
"Finally , they got seperated .","Finally , they got separated ."
"Today , Pat and Lily still are friend .","Today , Pat and Lily are still friends ."
But Lily never tell her what she really want and what her really thought the thing .,But Lily never tells her what she really wants and what she really thinks about things .
Pat felt very sorry about that was too late .,Pat felt very sorry about that but it was too late .
Thank you for organising the programme about the trip to London .,Thank you for organising the programme for the trip to London .
There are a lot of activities that all of my classmates are interested in and especially they are looking forward to sightseeing by bus and visiting National Art Gallery .,There are a lot of activities that all of my classmates are interested in and they are especially looking forward to sightseeing by bus and visiting the National Art Gallery .
It starts 10:00 am and finishes 9:00 p.m.,It starts at 10:00 am and finishes at 9:00 p.m.
"All of my classmates would like to go there because it is a great chance to see the latest fashions , leisure and sports wear , make up and hairstyles .","All of my classmates would like to go there because it is a great chance to see the latest fashions , leisure and sports wear , make - up and hairstyles ."
"Besides , students do n't have to pay entrance fee because it is free for students .","Besides , students do n't have to pay an entrance fee because it is free for students ."
"The fashion show is only on the 14th of March , so I would be grateful if you could allow all of my classmates to go there after visiting Science Museum instead of going shopping .","The fashion show is only on the 14th of March , so I would be grateful if you could allow all of my classmates to go there after visiting the Science Museum instead of going shopping ."
"First of all , everybody has rights to keep their own private life , especially when they are in serious situations such as divorce and a family member 's or the closest friend 's death .","First of all , everybody has rights to keep their own life private , especially when they are in serious situations such as divorce or a family member 's or closest friend 's death ."
It is too cruel for them to be monitored their feelings at that time .,It is too cruel for them to have their feeling monitored at that time .
"Another reason that I agree famous people deserve to have a private life is that if journalists followed them all the time , it would result in their death .","Another reason that I agree that famous people deserve to have a private life is that if journalists followed them all the time , it would result in their death ."
"For example , if Diana , who was ex - wife of Prince Charles , had n't been followed by paparachi when she was dating with a guy , there would n't have been a car accident which caused her death .","For example , if Diana , who was the ex - wife of Prince Charles , had n't been followed by paparazzi when she was dating a man , there would n't have been a car accident which caused her death ."
"To sum up , nobody wants to be revealed their private life on public .","To sum up , nobody wants their private life to be revealed in public ."
I had spent at this festival for two days .,I spent two days at this festival .
It was a great idea to organize such festival .,It was a great idea to organize such a festival .
Most of the events which I had seen were good .,Most of the events which I saw were good .
"I enjoyed dance shows , jazz and rock concerts .","I enjoyed the dance shows , and the jazz and rock concerts ."
At festival I could talk with writers .,At the festival I could talk with writers .
It was an excellent idea to make one reasonaly - priced weekend ticket for all events .,It was an excellent idea to have one reasonably priced weekend ticket for all events .
A lot of people could visit as many events as the they could .,A lot of people could visit as many events as they wanted .
I was very surprised when I knew that stars and artists were only from six countries .,I was very surprised when I learned that the stars and artists were from only six countries .
It was too little for this festival .,It was too few for this festival .
It was pitty that too small halls were used for classical concerts .,It was a pity that the halls used for the classical concerts were too small .
I like going to classical concerts but at this festival the sounds of music were terrible .,I like going to classical concerts but at this festival the sound of the music was terrible .
I have some suggestion for next year 's festival .,I have some suggestions for next year 's festival .
I would like to help you in your interesting job .,I would like to help you in your interesting work .
"There are a lot of folk stories in the world and there are a lot of folk stories in Estonia , I would like to tell you one of them .",There are a lot of folk stories from around the world and there are a lot of folk stories in Estonia . I would like to tell you one of them .
One day the man quarreled with his sons and they left the house trying to find work .,One day the man quarrelled with his sons and they left the house to try to find work .
And they had lived far from their father for two years .,And they lived far from their father for two years .
They grow up and became wise .,They grew up and became wise .
They decided to return to his father because he was old and he needed help .,They decided to return to their father because he was old and he needed help .
When the sons were old they began to tell about their life beginning with this story happend a long time ago,"When the sons were old they began to talk about their life , beginning with this story , which happened a long time ago ."
17th Juni 2000,17th June 2000
I 'm in London first time and I wondered what is interesting on yours stage : I read in newspaper the advertisment about best musical show .,I 'm in London for the first time and I wondered what is interesting on your stage : I read in the newspaper the advertisement about the best musical show .
In advertisment starring was very interested - Danny Brook and Tina Truelove .,In the advertisement the cast was very interesting - Danny Brook and Tina Truelove .
I desided to go to your theatre but at the beginning was the tranbles .,I decided to go to your theatre but at the beginning it was the tranbles .
"In advertisment was - "" discounts available "" .","In the advertisement it said - "" discounts available "" ."
"I 'm teacher and in Polan I have discounts but in England no , I know this is other country .",I 'm a teacher and in Poland I have discounts but in England I do n't . I know this is another country .
"Otherwise , the musical show started too late at 20 15 not 17 30 !","Otherwise , the musical show started too late - at 20 15 instead of 17 30 !"
